ano,mes,data,plataforma,categoria,genero,titulo,reproducoes,tempo_medio_consumo,usuarios_ativos,assinaturas,avaliacao_media,receita_plataforma,horario_pico
2015,1,2015-01-01,Disney+,Música,Drama,Filme Solar,341594,34.0,6819,123531,3.26,2116565.35,08:00
2015,1,2015-01-01,Netflix,Série,Pop,Filme Solar,658397,57.6,167007,163372,4.0,1844711.64,12:00
2015,1,2015-01-01,Spotify,Podcast,Pop,Filme Solar,639888,66.3,294779,92786,3.79,4149626.64,21:00
2015,1,2015-01-01,Prime Video,Podcast,Tecnologia,Top Hits,341710,59.4,383375,72989,4.51,690056.42,08:00
2015,1,2015-01-01,Prime Video,Série,Tecnologia,Filme Solar,252084,19.7,356362,89204,3.16,3706171.15,21:00
2015,1,2015-01-01,Prime Video,Série,Drama,Podcast Tech,904091,17.6,347306,197838,3.09,411135.52,21:00
2015,1,2015-01-01,Prime Video,Música,Ação,Filme Solar,1566323,46.5,281322,186188,1.44,2855980.99,21:00
2015,1,2015-01-01,Netflix,Série,Tecnologia,Série Mistério,1725483,67.9,393602,66692,1.22,3683852.62,08:00
2015,1,2015-01-01,YouTube Music,Filme,Drama,Filme Solar,932166,55.9,374899,45041,1.89,2874316.41,18:00
2015,1,2015-01-01,Prime Video,Série,Ação,Série Mistério,1882964,38.1,306938,57125,2.78,2196861.1,08:00
2015,1,2015-01-01,Prime Video,Filme,Pop,Filme Solar,1290249,67.9,384641,51971,4.63,3232694.16,21:00
2015,1,2015-01-01,Prime Video,Música,Pop,Podcast Tech,1807721,42.5,319313,25200,2.49,4850031.07,08:00
2015,1,2015-01-01,YouTube Music,Série,Drama,Podcast Tech,1198104,83.5,191031,158795,1.66,3790846.55,08:00
2015,1,2015-01-01,Netflix,Podcast,Comédia,Top Hits,271057,85.1,139319,180809,4.2,1251147.95,12:00
2015,1,2015-01-01,Disney+,Série,Drama,Série Mistério,274959,56.9,68260,145615,3.24,3610117.81,08:00
2015,1,2015-01-01,Netflix,Podcast,Comédia,Série Mistério,1467655,15.5,480186,109679,2.07,3269050.61,08:00
2015,1,2015-01-01,Netflix,Filme,Pop,Filme Solar,1001384,31.4,68147,147881,1.91,4749106.86,08:00
2015,1,2015-01-01,Spotify,Série,Ação,Série Mistério,1692030,60.4,319011,169360,4.57,2905880.97,18:00
2015,1,2015-01-01,Prime Video,Filme,Comédia,Filme Solar,1071262,11.1,431060,167263,3.19,1361115.87,12:00
2015,1,2015-01-01,Disney+,Série,Tecnologia,Filme Solar,902799,13.2,427971,144698,1.94,4880091.61,08:00
2015,1,2015-01-01,Disney+,Série,Pop,Série Mistério,41426,72.2,59365,130126,4.33,1407568.34,08:00
2015,1,2015-01-01,Netflix,Série,Tecnologia,Top Hits,912297,30.4,257200,125420,3.89,974977.53,18:00
2015,1,2015-01-01,Spotify,Filme,Drama,Podcast Tech,69540,87.6,341657,110792,4.65,1797603.89,21:00
